UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
14620,86.3,9.6,1.1,1,1.3,0.1,0.6,0.1,0,14620,0,2.5,15.2,17.8,22.3,21.1,14.3,4.4,1.7,0.7,14620,0.8,3.6,18.1,61.5,14,1.9
16063,80.5,12.3,0.6,0.8,2.9,1.1,1.7,0.1,0,16063,0,1.9,18.1,20.6,16.9,20.4,9.8,7,3.1,2.2,16063,0.9,4.3,17.1,62.6,12.7,2.5
14805,84.1,10.4,1.1,1,1.4,1.4,0.4,0.2,0,14805,0,0.4,30.7,19.7,15.8,17.3,8.8,5.6,0.7,1,14805,0.8,3.4,14.6,66.4,13.8,1
8967,66.4,18,0.1,0.9,7.7,2.2,4.6,0.1,0,8967,0,0.8,21,22.3,17.9,14.3,12,7.4,1.7,2.6,8967,0.6,5.4,21.8,58.5,11.5,2.1
10411,63.5,12.9,0.4,1.7,5.2,4.3,11.9,0,0,10411,0,3.1,11.8,15.3,17,29,13,6,3.8,1,10411,3.3,11.3,20.9,48.4,15.6,0.5
1464,56.1,19.5,2.2,14.3,3.3,0,4.1,0.5,0,1464,0,7.1,22.7,34.9,6.5,14.6,9.3,2.8,1.2,1,1464,11.9,21,26.8,32.9,7.1,0.3
16202,81.1,5.9,5.3,2,2.7,2,0.3,0.7,0,16202,0,1.1,21.9,22.2,20,14.8,9.4,7.5,1,2.1,16202,1.2,2.4,18.8,66.7,9.5,1.4
17009,82.5,13.4,0.6,0.7,0.9,0.8,1.1,0,0,17009,0,1.9,30.1,19.4,20.9,13.3,8.1,3.1,1.9,1.3,17009,1.1,3.7,14.7,62,15.9,2.6
5140,90.3,2.1,0.3,1.6,1.5,1.9,1.6,0.7,0,5140,0,0.6,33.8,17.2,17.1,15.8,8.6,3.1,0.9,3,5140,0,2,14.3,60.2,20.6,2.9
7008,76.5,17.7,0.5,2.9,0.7,1.2,0.3,0.2,0,7008,0,2.3,11.6,16.6,17.2,21.6,18.4,10.9,1.2,0.3,7008,0,0.5,25.4,61.1,11.3,1.7
12893,78.3,18.1,0.9,1.1,0.4,0.3,0,0.7,0,12893,0,0.9,7.9,15.5,22.2,25.8,17,7.2,2.6,0.9,12893,0.4,2.1,21.4,60.8,13.7,1.6
17699,82.6,6.5,1.1,2.1,5.1,1.2,1,0.3,0,17699,0,3,14.7,12.9,16.3,24.2,16.3,6.5,2.9,3.2,17699,0.3,5.7,16.9,63.5,11.2,2.3
105,40,60,0,0,0,0,0,0,0,105,0,0,0,24.8,52.4,0,0,22.9,0,0,105,0,35.2,17.1,47.6,0,0
24461,65.7,13.9,0.6,3.7,4.9,3.9,7.2,0.1,0,24461,0,3.4,14.8,16.8,19,22.9,13.2,8.2,1.3,0.5,24461,2.2,7.6,20.6,51.5,17,1.1
10725,75.8,19.7,0.4,1.2,1.4,0.3,0.7,0.5,0,10725,0,3,11,23.8,18.1,23,13.5,4.2,1.8,1.6,10725,0.8,4.7,20.3,57.9,12.7,3.6
17568,88.6,7.1,0.4,0.8,0.8,0.8,1.3,0.1,0,17568,0,3.2,17.2,18.1,18,21,12.1,5.5,3.5,1.6,17568,0.5,3,17.7,62.1,13.9,2.9
4232,7.1,8.3,4.2,12.1,21.7,18.3,28.3,0,0,4232,0,3.2,11.9,5.2,1.9,5,7.5,7.5,6.6,51.2,4232,10.5,18.5,33.8,29.7,6.2,1.3
151,0,0,0,0,0,0,100,0,0,151,0,8.6,52.3,0,0,9.3,0,0,0,29.8,151,32.5,51.7,6.6,9.3,0,0
12956,14.8,2.8,1.3,4.5,10.8,13.8,51.5,0.4,0,12956,0,2.1,5.3,4.2,8.5,20.6,29.1,14,8.7,7.6,12956,11.5,17.8,25.7,36.1,6.7,2.1
3344,18,6.7,3.1,6.3,21.9,13.6,30.4,0,0,3344,0.5,5.4,8,10.4,14.2,11.5,10.2,13.9,12.2,13.6,3344,11.6,14.8,26.7,37.9,8.3,0.8
5414,23.4,7.4,4,12,12.8,11.2,29.2,0,0,5414,0,2,5.1,3.7,5.4,25.8,17.5,18,15.4,7.2,5414,17.8,15.5,26.3,30.6,7.8,2
