RACE,,,,,,,,,HISPANIC/LATINO,,,HOUSING OCCUPANCY,,,,
Total population3,One race (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some other race (%),Two or more races (%),Total population4,Hispanic or Latino (%),Not Hispanic or Latino (%),Total housing units,Occupied housing units,Vacant housing units,Homeowner vacancy rate (%),Rental vacancy rate (%)
13803,91.3,58.2,21,0.9,4.7,0,6.6,8.7,13803,31.4,68.6,5488,5230,258,0.8,0.5
3232,91.5,77.9,7.2,0,3.3,0,3.1,8.5,3232,22.4,77.6,1136,1136,0,0,0
5916,93.1,69.6,15.1,0.4,2.9,0,5.1,6.9,5916,24.9,75.1,2604,2523,81,0,0
0,-,-,-,-,-,-,-,-,0,-,-,0,0,0,-,-
9640,85.1,55.5,20.8,0,1.4,0,7.5,14.9,9640,43.7,56.3,3935,3664,271,0,9.5
45372,92.8,83.6,5.1,0.2,1.3,0,2.5,7.2,45372,7.7,92.3,22576,19952,2624,0.7,4.5
8161,97.2,94.7,0.8,0.1,1.2,0,0.4,2.8,8161,2.4,97.6,4439,3948,491,0.7,4
754,100,98.8,0,0.4,0,0,0.8,0,754,0,100,297,289,8,0,0
2658,95.3,92.7,0.8,0.3,0.6,0,0.9,4.7,2658,5.2,94.8,2183,1223,960,0.6,1.1
186,100,100,0,0,0,0,0,0,186,0,100,109,80,29,0,0
3243,95.7,93.1,1.1,0.6,0.9,0,0,4.3,3243,1.2,98.8,1659,1509,150,3.1,0
6356,98.2,96.6,0.7,0,0.8,0,0.1,1.8,6356,3.7,96.3,3057,2907,150,0,0
142,100,100,0,0,0,0,0,0,142,0,100,118,88,30,0,24.3
9139,96.4,91.4,1.5,0.7,0.4,0,2.4,3.6,9139,4.8,95.2,5213,3793,1420,0.2,4.1
2610,96.6,94.9,0.5,0.4,0,0.1,0.7,3.4,2610,2.6,97.4,1464,1104,360,2.3,0
1632,97.7,86.2,0.9,0,10.7,0,0,2.3,1632,3,97,879,704,175,0,0
2332,99.8,99.4,0.1,0,0,0,0.3,0.2,2332,0.3,99.7,1460,1019,441,0,0
5626,98.4,90.9,0.3,0.3,1.8,0,5.1,1.6,5626,2.6,97.4,2720,2292,428,3.1,0
4926,97.2,92.1,2.1,0.6,0,0,2.4,2.8,4926,5.1,94.9,3055,2158,897,0,6.2
279,100,100,0,0,0,0,0,0,279,0,100,140,93,47,0,-
163,94.5,89,0,5.5,0,0,0,5.5,163,0,100,120,80,40,0,-
164,100,100,0,0,0,0,0,0,164,0,100,132,68,64,12.7,0
771,100,98.6,0,0,0,0,1.4,0,771,3.1,96.9,803,355,448,0,0
15405,95.9,88.6,1.7,0.2,3.2,0,2.1,4.1,15405,6,94,7651,6527,1124,2.6,5.2
879,98.7,98.4,0,0.3,0,0,0,1.3,879,2.5,97.5,687,434,253,0,10.5
995,99.4,91.8,5.1,0,2.5,0,0,0.6,995,0.4,99.6,590,440,150,0,0
865,98,96,1.6,0,0.5,0,0,2,865,1.6,98.4,614,309,305,1.9,0
708,98.4,94.1,3.7,0.7,0,0,0,1.6,708,2,98,404,330,74,0,0
