HOUSE VALUE,,,,,,,,,MORTGAGE STATUS,,,DETAILED CRIME,,,,,,,,,
Owner-occupied units,"Less than $50,000 (%)","$50,000 to $99,999 (%)","$100,000 to $149,999 (%)2","$150,000 to $199,999 (%)3","$200,000 to $299,999 (%)","$300,000 to $499,999 (%)","$500,000 to $999,999 (%)","$1,000,000 or more (%)",Owner-occupied units2,Housing units with a mortgage (%),Housing units without a mortgage (%),Violent_Crime_Index,Assault_Index,Murder_Index,Rape_Index,Robbery_Index,Property_Crime_Index,Burglary_Index,Larceny_Index,Motor_Vehicle_Theft_Index,Property_Damage_Index
17748,3.7,29.2,29.3,18.8,16.1,3,0,0,17748,53.9,46.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
16725,4.8,26.9,42.4,16.9,7.4,1,0.5,0.1,16725,45.1,54.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10691,2.3,24.5,47,17.9,6.5,1.4,0.1,0.2,10691,46.2,53.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
11228,3.1,17.5,46.9,26.1,4.7,1.1,0.1,0.6,11228,53.6,46.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0,-,-,-,-,-,-,-,-,0,-,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7563,2,14.8,34.8,26.7,17,3.8,0.5,0.5,7563,49.5,50.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4235,11.3,37.4,33.5,10.4,6.2,1.1,0.1,0,4235,32.9,67.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1139,9.6,60.9,17.4,7.2,3.3,1.6,0,0,1139,19.8,80.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4361,2.7,6.1,14.6,18.7,22.4,23.1,8.6,3.8,4361,54.2,45.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1304,0,6.6,24.7,22.3,22.6,18.5,3.8,1.5,1304,46.6,53.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
11021,1.6,3,17.2,23.5,29.5,17.4,7,0.9,11021,57.2,42.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6132,3.1,22.8,33.8,20.6,12.6,6.4,0.8,0,6132,30.2,69.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
15742,3.4,19.7,30.7,26.1,13.3,6.2,0.5,0.1,15742,50.2,49.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5584,1.7,13.7,26.6,18.9,15.7,20.1,2.6,0.7,5584,50,50,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3767,1.6,19.2,43.7,29.7,4.5,0.6,0.3,0.3,3767,50.4,49.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8462,2.1,18.1,43.7,25.4,7.1,2.2,1.2,0.2,8462,58.1,41.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8506,3.7,17.7,44.9,23.1,8.2,1.6,0.5,0.3,8506,47.9,52.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
15017,4,19.7,38.5,23.8,12.5,0.9,0.3,0.3,15017,55,45,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4936,2.1,1.5,7.6,22.4,41,24,1.4,0,4936,61.2,38.8,46,62,9,85,29,44,42,58,25,52
4763,0.5,0.3,1.5,3.3,19.8,45,28.3,1.4,4763,54.9,45.1,50,60,11,118,10,26,37,27,13,28
0,-,-,-,-,-,-,-,-,0,-,-,50,60,11,118,10,26,37,27,13,28
1711,0.6,3.6,4.1,10.6,39,28.5,12.5,1,1711,74.8,25.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4964,2.6,2.5,1.2,6.8,42.7,41,1.7,1.4,4964,69.5,30.5,24,41,8,24,21,26,34,26,17,27
474,1.7,5.3,8.9,17.9,34.2,24.3,5.1,2.7,474,72.6,27.4,39,61,19,46,29,40,57,36,30,39
295,0,0,42.7,2.4,35.6,14.9,4.4,0,295,84.7,15.3,90,143,32,115,69,68,70,85,38,77
1336,4.6,2.4,5.8,9.1,28.4,35.6,8.7,5.5,1336,67.5,32.5,26,49,6,39,8,22,34,22,8,24
393,1.8,1.5,18.6,25.4,23.4,22.9,5.6,0.8,393,68.2,31.8,43,84,24,11,52,42,66,30,36,37
180,0,1.1,3.3,8.3,50.6,28.3,8.3,0,180,60,40,10,18,6,8,8,27,49,20,14,25
4753,1.9,3.9,9.9,36,39.2,8.1,0.7,0.3,4753,65.2,34.8,114,137,58,150,110,109,141,101,86,107
8221,4.3,3.4,11.8,28.7,39.5,9.3,2.6,0.4,8221,59.1,40.9,114,137,58,150,110,109,141,101,86,107
762,9.3,4.5,43.7,21.9,9.2,4.5,5,2,762,66,34,114,137,58,150,110,109,141,101,86,107
369,3.5,6.8,6.2,18.2,32,20.6,10.3,2.4,369,52,48,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5456,1.4,0.4,2.1,10.6,41.3,39.7,4.2,0.2,5456,64.1,35.9,14,23,6,19,8,27,48,21,14,25
5094,1.5,0,1.6,8.4,42,34.3,11.7,0.5,5094,65.4,34.6,34,43,7,60,24,55,60,69,27,63
199,0,0,9.5,15.6,30.7,22.6,19.6,2,199,57.3,42.7,112,151,18,251,27,99,121,122,38,114
3987,1.8,0,0.2,18.9,48,26.2,4.2,0.7,3987,72.9,27.1,46,62,9,85,29,44,42,58,25,52
361,5.3,3.3,6.6,49.6,16.9,18.3,0,0,361,70.9,29.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
180,2.2,0,4.4,20,38.9,30,4.4,0,180,61.7,38.3,16,24,6,24,8,22,41,15,12,19
2206,3.6,0.5,6.1,5.6,45.7,31.8,6.1,0.7,2206,73.6,26.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
779,3.2,0,3.5,14.4,34.4,34,8.7,1.8,779,68,32,17,28,7,24,10,31,52,30,11,32
1724,1.1,1.7,0,3.2,22.7,49.6,19,2.7,1724,57,43,71,124,7,117,36,84,64,135,28,111
1906,0,0,2.8,4,50.5,40.1,2,0.6,1906,57.8,42.2,19,28,5,41,3,33,36,31,34,32
225,0,0,6.7,14.2,34.7,41.3,3.1,0,225,20,80,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
821,2.2,0,0,2.2,29.6,52,14,0,821,56,44,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
580,0,1,2.6,15.5,23.4,41.9,14.8,0.7,580,61.4,38.6,22,31,4,48,5,36,66,27,16,33
5962,3.4,4.5,10.8,26.6,35.5,15.5,2.9,0.7,5962,65,35,192,268,106,197,198,169,160,209,116,191
878,1.1,2.4,6.6,23.2,40.2,21.9,4.6,0,878,62.5,37.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
561,1.4,0,7,2.9,52.2,25.5,9.8,1.2,561,69.2,30.8,90,132,15,163,50,71,74,97,27,86
623,1.3,0.6,2.4,2.1,26.2,42.5,24.4,0.5,623,53.3,46.7,10,12,5,19,5,22,37,21,8,23
6339,2.7,0.8,5.8,20.7,38.4,29.4,2.2,0,6339,61.7,38.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2884,1.5,2.8,3.5,16.1,46.7,24.6,4.2,0.6,2884,64.6,35.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3311,0.8,0.8,3.4,7.6,18.2,44,21.7,3.6,3311,60.5,39.5,90,132,15,163,50,71,74,97,27,86
3121,1.7,0.3,1.8,7.4,32.6,38.3,16.5,1.3,3121,63.7,36.3,90,132,15,163,50,71,74,97,27,86
0,-,-,-,-,-,-,-,-,0,-,-,90,132,15,163,50,71,74,97,27,86
34,0,0,0,0,76.5,23.5,0,0,34,23.5,76.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
575,0,0.5,4.5,4.5,32.9,47,9.7,0.9,575,63.5,36.5,33,66,7,44,14,26,33,25,20,26
2755,2.3,5.8,21.8,15.6,31.1,19.5,3.8,0,2755,62.2,37.8,90,143,32,115,69,68,70,85,38,77
225,0.9,4,11.1,18.7,31.6,25.8,8,0,225,60.4,39.6,32,45,11,20,51,34,47,16,47,25
465,7.5,0,7.1,15.5,48.8,18.1,3,0,465,60,40,80,108,13,195,6,48,55,59,23,55
541,0.6,0.6,4.4,7,44.4,38.3,3.5,1.3,541,68.8,31.2,13,16,4,29,4,17,37,8,10,13
2085,1.6,0.8,0,9.1,26.3,48.3,12.5,1.4,2085,61,39,27,47,5,50,6,27,38,28,15,28
41,0,0,0,56.1,43.9,0,0,0,41,56.1,43.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5680,1,1.6,4.3,13,39.1,35.5,5.1,0.3,5680,62.1,37.9,36,56,13,46,28,66,116,53,32,63
3052,1,0.3,3.7,11.8,32.5,42.9,6.9,0.8,3052,60.7,39.3,23,35,5,46,5,32,52,28,15,31
